Passage,Harmonic,Arithmetic
Gen.1.1,22,287
Gen.1.2,4,581
Gen.1.3,42,455
Gen.1.4,10,938
Gen.1.5,9,124
Gen.1.6,4,283
Gen.1.7,13,1030
Gen.1.8,4,127
Gen.1.9,5,521
Gen.1.10,5,415
Gen.1.11,8,637
Gen.1.12,8,525
Gen.1.13,4,57
Gen.1.14,2,222
Gen.1.15,6,502
Gen.1.16,6,923
Gen.1.17,18,581
Gen.1.18,5,355
Gen.1.19,5,76
Gen.1.20,4,708
Gen.1.21,4,945
Gen.1.22,5,625
Gen.1.23,8,76
Gen.1.24,4,283
Gen.1.25,29,922
Gen.1.26,3,403
Gen.1.27,5,632
Gen.1.28,4,693
Gen.1.29,16,1181
Gen.1.30,16,927
Gen.1.31,20,1065
Gen.1,6,636
Gen.2.1,3,162
Gen.2.2,12,808
Gen.2.3,21,1020
Gen.2.4,4,612
Gen.2.5,9,997
Gen.2.6,4,471
Gen.2.7,4,822
Gen.2.8,4,1453
Gen.2.9,4,500
Gen.2.10,2,629
Gen.2.11,3,799
Gen.2.12,2,186
Gen.2.13,3,435
Gen.2.14,2,145
Gen.2.15,2,1236
Gen.2.16,10,898
Gen.2.17,4,483
Gen.2.18,6,877
Gen.2.19,11,843
Gen.2.20,8,104
Gen.2.21,4,733
Gen.2.22,9,1142
Gen.2.23,3,351
Gen.2.24,3,1035
Gen.2.25,4,190
Gen.2,4,717
Gen.3.1,11,1014
Gen.3.2,5,459
Gen.3.3,5,695
Gen.3.4,10,875
Gen.3.5,4,504
Gen.3.6,3,218
Gen.3.7,2,292
Gen.3.8,6,1047
Gen.3.9,7,1513
Gen.3.10,3,1014
Gen.3.11,5,706
Gen.3.12,7,645
Gen.3.13,5,673
Gen.3.14,11,552
Gen.3.15,2,100
Gen.3.16,2,91
Gen.3.17,4,494
Gen.3.18,3,844
Gen.3.19,4,584
Gen.3.20,14,551
Gen.3.21,3,738
Gen.3.22,14,431
Gen.3.23,4,1540
Gen.3.24,4,1127
Gen.3,4,657
Gen.4.1,7,1538
Gen.4.2,5,971
Gen.4.3,24,52
Gen.4.4,2,737
Gen.4.5,5,311
Gen.4.6,9,1076
Gen.4.7,3,267
Gen.4.8,6,655
Gen.4.9,9,1159
Gen.4.10,7,331
Gen.4.11,11,1344
Gen.4.12,3,802
Gen.4.13,5,1501
Gen.4.14,2,107
Gen.4.15,5,1044
Gen.4.16,3,592
Gen.4.17,13,832
Gen.4.18,2,1624
Gen.4.19,7,121
Gen.4.20,4,784
Gen.4.21,4,385
Gen.4.22,2,582
Gen.4.23,2,351
Gen.4.24,3,428
Gen.4.25,6,969
Gen.4.26,6,634
Gen.4,4,757
Gen.5.1,5,230
Gen.5.2,4,685
Gen.5.3,4,639
Gen.5.4,17,580
Gen.5.5,53,745
Gen.5.6,16,789
Gen.5.7,28,543
Gen.5.8,24,355
Gen.5.9,5,996
Gen.5.10,25,527
Gen.5.11,29,356
Gen.5.12,5,999
Gen.5.13,16,573
Gen.5.14,19,352
Gen.5.15,9,789
Gen.5.16,16,558
Gen.5.17,14,349
Gen.5.18,10,738
Gen.5.19,20,613
Gen.5.20,19,346
Gen.5.21,6,876
Gen.5.22,18,991
Gen.5.23,35,407
Gen.5.24,15,938
Gen.5.25,12,745
Gen.5.26,18,518
Gen.5.27,17,346
Gen.5.28,17,99
Gen.5.29,3,922
Gen.5.30,14,504
Gen.5.31,32,356
Gen.5.32,19,1204
Gen.5,11,610
Gen.6.1,19,487
Gen.6.2,8,1018
Gen.6.3,4,584
Gen.6.4,9,685
Gen.6.5,10,780
Gen.6.6,7,1681
Gen.6.7,6,1226
Gen.6.8,12,165
Gen.6.9,4,647
Gen.6.10,14,1504
Gen.6.11,5,305
Gen.6.12,6,1605
Gen.6.13,8,841
Gen.6.14,2,510
Gen.6.15,15,376
Gen.6.16,1,28
Gen.6.17,14,1151
Gen.6.18,12,810
Gen.6.19,5,270
Gen.6.20,5,51
Gen.6.21,5,506
Gen.6.22,98,743
Gen.6,6,752
Gen.7.1,7,833
Gen.7.2,7,581
Gen.7.3,7,379
Gen.7.4,11,760
Gen.7.5,35,951
Gen.7.6,7,600
Gen.7.7,16,346
Gen.7.8,9,936
Gen.7.9,15,1032
Gen.7.10,10,488
